string,string,string,string
boxno,sn,carno,creattime
LFB7201709230013,1PQ1733001106,32000964,2017/9/23 13:40
LFB7201709230013,1PQ1733001120,32001562,2017/9/23 13:40
LFB7201709230013,1PQ1733001135,32001574,2017/9/23 13:40
LFB7201709230013,1PQ1733001172,32001575,2017/9/23 13:40
LFB7201709230013,1PQ1733001179,32000985,2017/9/23 13:40
LFB7201709230013,1PQ1733001286,32000965,2017/9/23 13:40
LFB7201709230013,1PQ1733001326,32000962,2017/9/23 13:40
LFB7201709230013,1PQ1733001638,32000981,2017/9/23 13:40
LFB7201709230013,1PQ1733001645,32000982,2017/9/23 13:40
LFB7201709230013,1PQ1733001783,32002176,2017/9/23 13:40
LFB7201709230014,1PQ1733000103,32001523,2017/9/23 13:52
LFB7201709230014,1PQ1733000262,32001933,2017/9/23 13:52
LFB7201709230014,1PQ1733000425,32000925,2017/9/23 13:52
LFB7201709230014,1PQ1733000539,32001488,2017/9/23 13:52
LFB7201709230014,1PQ1733000584,32001801,2017/9/23 13:52
LFB7201709230014,1PQ1733000615,32000873,2017/9/23 13:52
